┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:30:35│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 511M 5356M┊   0     0 ┊ 511M 5356M
Jul-08 11:30:36│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 525M 5357M┊   0     0 ┊ 525M 5357M
Jul-08 11:30:37│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5359M┊   0     0 ┊ 558M 5359M
Jul-08 11:30:38│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5358M┊   0     0 ┊ 558M 5358M
Jul-08 11:30:39│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5356M┊   0     0 ┊ 558M 5356M
Jul-08 11:30:40│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5385M┊   0     0 ┊ 558M 5387M
Jul-08 11:30:41│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5406M┊   0     0 ┊ 558M 5406M
Jul-08 11:30:42│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5356M┊   0     0 ┊ 558M 5356M
Jul-08 11:30:43│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5395M┊   0     0 ┊ 558M 5395M
Jul-08 11:30:44│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 558M 5396M┊   0     0 ┊ 558M 5396M
Jul-08 11:30:45│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5385M┊   0     0 ┊ 558M 5385M
Jul-08 11:30:46│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5329M┊   0     0 ┊ 558M 5329M
Jul-08 11:30:47│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 479M 5352M┊   0     0 ┊ 479M 5352M
Jul-08 11:30:48│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5341M┊2280b 2280b┊ 558M 5341M
Jul-08 11:30:49│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5300M┊   0     0 ┊ 558M 5300M
Jul-08 11:30:50│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5357M┊   0     0 ┊ 558M 5357M
Jul-08 11:30:51│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5357M┊   0     0 ┊ 558M 5357M
Jul-08 11:30:52│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5356M┊   0     0 ┊ 558M 5356M
Jul-08 11:30:53│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5377M┊   0     0 ┊ 558M 5377M
Jul-08 11:30:54│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 558M 5415M┊   0     0 ┊ 558M 5415M
Jul-08 11:30:55│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 558M 5356M┊   0     0 ┊ 558M 5356M
Jul-08 11:30:56│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5356M┊   0     0 ┊ 558M 5356M
Jul-08 11:30:57│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5406M┊   0     0 ┊ 558M 5406M
Jul-08 11:30:58│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 478M 5308M┊   0     0 ┊ 478M 5308M
Jul-08 11:30:59│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5356M┊   0     0 ┊ 558M 5356M
Jul-08 11:31:00│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5357M┊   0     0 ┊ 558M 5357M
Jul-08 11:31:01│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5357M┊   0     0 ┊ 558M 5357M
Jul-08 11:31:02│36.2G 42.4G  170G  213G│  2   2  96   0   0│4982M 7298M┊3528b 3528b┊4982M 7298M
Jul-08 11:31:03│36.3G 42.4G  170G  213G│  2   1  97   0   0│5198M   15G┊2232b 2232b┊5198M   15G
Jul-08 11:31:04│36.3G 42.4G  170G  213G│  1   1  97   0   0│1948M   19G┊   0     0 ┊1948M   19G
Jul-08 11:31:05│36.3G 42.4G  170G  213G│  1   1  97   0   0│1932M   19G┊   0     0 ┊1932M   19G
Jul-08 11:31:06│36.3G 42.4G  170G  213G│  1   1  97   0   0│1876M   19G┊   0     0 ┊1876M   19G
